Lib	salinity	Depth	Temperature	O2	PO4	SiO2	NO2	NO3	NH4	Tbact	Synechococcus	Chla_Picoeuk.	Latitude	Longitude	Season	Salinity_cat	Depth_cat	Oxy_cat
S92	5.0908	20	8.7467	7.48	0	9.1	0.01	0	NA	4850000	408057889.8	NA	62.64	19.3	Summer	Mesohaline	Hypolimneon	intermediate
S93	5.4378	40	2.5948	8.49	0.05	16.1	0.17	0.78	NA	2280000	7025210.084	NA	62.64	19.3	Summer	Mesohaline	Hypolimneon	normal
S94	6.0868	105	3.6404	5.63	0.79	36.3	0.06	7.05	NA	1610000	4313725.49	NA	62.64	19.3	Summer	Mesohaline	Hypolimneon	intermediate
S96	4.7709	10	12.169	7.51	0	12.7	0.01	0.01	0.18	4350000	433067226.9	1.2	62.6	20	Summer	Mesohaline	Surface	intermediate
W003	23.9692	15	4.8854	8.06	0.83	11.06	0.19	6.79	0.17	712466.4834	1496000	1528057.143	54.7866717	10.8788567	Winter	Marine	Hypolimneon	normal
W004	12.834	1	1.6642	NA	0.28	5.22	0.12	1.6	0.8	1089541.885	1645600	6561028.571	55.266715	11.0553983	Winter	Marine	Surface	normal
W006	29.2208	25	6.2436	7.36	0.92	13.77	0.16	9.1	0.25	746245.1566	1271600	1207485.714	55.266715	11.0553983	Winter	Marine	Hypolimneon	intermediate
W007	15.8426	1	1.7929	11.76	0.28	1.03	0.04	0.03	0.17	1055523.647	NA	NA	55.7435133	10.8089917	Winter	Marine	Surface	normal
W009	30.9544	28	6.3651	7.44	1.06	8.62	0.25	7.35	0.13	850216.392	NA	NA	55.7435133	10.8089917	Winter	Marine	Hypolimneon	intermediate
W010	18.6747	1	1.5063	11.78	0.05	0	0.06	0.01	0.04	999225.8582	1463942.857	7394514.286	56.210595	11.1098317	Winter	Marine	Surface	normal
W012	32.3745	16	6.5181	7.39	0.23	21.72	0.12	1.72	15.85	760139.93	1100628.571	512914.2857	56.210595	11.1098317	Winter	Marine	Hypolimneon	intermediate
W016	29.5207	13	5.6096	7.93	0.6	10.12	0.18	5.82	0	735464.729	769371.4286	1357085.714	56.688015	11.07196	Winter	Marine	Hypolimneon	intermediate
W018	34.2772	21	5.6377	8.3	0.55	8.4	0.04	6.65	0.02	601787.4265	1784514.286	534285.7143	57.19194	11.664	Winter	Marine	Hypolimneon	normal
W019	34.7483	50	6.2216	8.13	0.46	6.38	0.04	15.92	0	467391.4288	1378457.143	309885.7143	57.19194	11.664	Winter	Marine	Hypolimneon	normal
W021	20.2144	1	0.9987	11.09	0.18	2.39	0.08	0.42	0	1012401.936	566342.8571	6796114.286	57.67521	11.093075	Winter	Marine	Surface	normal
W023	32.2406	13	3.1686	9.47	1.01	6.97	0.32	8.32	0.29	639159.5756	2778285.714	7319714.286	57.67521	11.093075	Winter	Marine	Hypolimneon	normal
W025	34.1051	34	4.2853	8.97	0.55	6.97	0.28	7.93	0.4	653293.914	3013371.429	4146057.143	57.67521	11.093075	Winter	Marine	Hypolimneon	normal
W027	34.1041	20	5.1401	8.79	0.51	3.33	0.07	6.97	0.84	820031.1946	3761371.429	5663428.571	58.1453933	10.2740917	Winter	Marine	Hypolimneon	normal
W028	35.0054	60	6.2974	8.24	0.69	4.43	0.02	8.45	0	481046.6371	1805885.714	2190571.429	58.1453933	10.2740917	Winter	Marine	Hypolimneon	normal
W030	34.9744	177	5.4595	8.57	0.69	3.47	0.12	7.5	0.97	538302.686	1976857.143	2650057.143	58.1453933	10.2740917	Winter	Marine	Hypolimneon	normal
W031	26.973	1	1.4619	11.55	0.14	0	0.07	0.21	33.8	972155.0066	2489771.429	4712400	58.3545483	10.2960917	Winter	Marine	Surface	normal
W032	34.6663	26	6.4239	8.27	0.55	1.92	0.07	7.49	32.47	514106.6151	2051657.143	2756914.286	58.3545483	10.2960917	Winter	Marine	Hypolimneon	normal
W033	35.0064	100	6.9362	7.86	0.65	2.02	0	8.34	22.59	468349.689	961714.2857	416742.8571	58.3545483	10.2960917	Winter	Marine	Hypolimneon	intermediate
W034	35.2089	300	7.2042	7.6	0.83	2.73	0.01	10.62	25.26	352639.7658	544971.4286	299200	58.3545483	10.2960917	Winter	Marine	Hypolimneon	intermediate
W035	19.4498	1	1.3022	11.74	0.23	1.63	0.09	0.11	6.25	1102238.833	1057885.714	5300114.286	56.8754733	11.9330917	Winter	Marine	Surface	normal
W036	33.4213	20	5.3996	8.32	0.6	6.75	0.05	7.25	4.69	647304.7876	1260914.286	566342.8571	56.8754733	11.9330917	Winter	Marine	Hypolimneon	normal
W037	34.3531	36	5.7783	8.09	0.46	7.51	0.09	5.52	4.74	575914.4002	1624228.571	384685.7143	56.8754733	11.9330917	Winter	Marine	Hypolimneon	normal
W039	31.7703	15	5.739	8.24	0.67	7.44	0.02	7.19	0.3	702644.316	876228.5714	641142.8571	56.3598217	12.2652617	Winter	Marine	Hypolimneon	normal
W042	8.3866	25	2.2897	11.21	0.65	5.81	0.4	2.78	0.04	579148.5285	16007200	11102457.14	55.11172	13.3008817	Winter	Marine	Hypolimneon	normal
